@id,food_name,category,serving_size_grams,calories_per_100g,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,iron_mg,calcium_mg,glycemic_index,is_processed,region_common,seasonal_availability,health_tags,allergens,estimated_cost_ugx
1,Matooke,Staple,100,89,1.3,23.0,0.3,2.6,12.0,4,0.6,3,55,FALSE,Central/Western,Year-round,energy-rich|potassium-source|gluten-free,none,800
2,Posho,Staple,100,362,7.0,77.0,1.5,2.4,0.5,2,2.1,7,70,FALSE,Nationwide,Year-round,energy-rich|iron-source,gluten,500
3,Cassava,Staple,100,160,1.4,38.0,0.3,1.8,1.7,14,0.3,20,55,FALSE,Nationwide,Year-round,gluten-free|drought-resistant,none,600
4,Sweet Potatoes,Staple,100,86,1.6,20.0,0.1,3.0,4.2,55,0.6,30,63,FALSE,Nationwide,Year-round,vitamin-A-rich|fiber-rich|gluten-free,none,700
5,Irish Potatoes,Staple,100,77,2.0,17.0,0.1,2.2,0.8,6,0.8,12,82,FALSE,Western/Central,Year-round,vitamin-C-source|potassium-rich,none,900
6,Rice,Staple,100,365,7.1,80.0,0.7,1.3,0.1,5,0.8,28,73,FALSE,Nationwide,Year-round,energy-rich|gluten-free,none,1200
7,Beans,Legume,100,347,21.0,63.0,1.2,15.0,2.3,24,5.0,143,29,FALSE,Nationwide,Year-round,protein-rich|iron-rich|fiber-rich,none,1500
8,Millet,Grain,100,378,11.0,73.0,4.2,8.5,1.5,5,3.0,8,71,FALSE,Northern/Eastern,Year-round,iron-rich|calcium-source|gluten-free,none,800
9,Groundnuts,Legume,100,567,25.8,16.0,49.0,8.5,4.0,18,2.3,62,14,FALSE,Nationwide,Year-round,protein-rich|healthy-fats|vitamin-E,peanuts,2000
10,Cabbage,Vegetable,100,25,1.3,5.8,0.1,2.5,3.2,18,0.5,40,15,FALSE,Nationwide,Year-round,vitamin-C-rich|low-calorie|fiber-rich,none,500
11,Sukuma Wiki,Vegetable,100,35,2.4,6.0,0.4,2.0,1.5,46,1.5,130,15,FALSE,Nationwide,Year-round,iron-rich|calcium-rich|vitamin-A,none,500
12,Tomatoes,Vegetable,100,18,0.9,3.9,0.2,1.2,2.6,5,0.3,10,30,FALSE,Nationwide,Year-round,vitamin-C-source|antioxidant|lycopene,none,600
13,Onions,Vegetable,100,40,1.1,9.3,0.1,1.7,4.2,4,0.2,23,10,FALSE,Nationwide,Year-round,antioxidant|anti-inflammatory,none,700
14,Avocado,Fruit,100,160,2.0,9.0,15.0,6.7,0.7,7,0.6,12,40,FALSE,Central/Western,Year-round,healthy-fats|potassium-rich|folate-source,none,1000
15,Mango,Fruit,100,60,0.8,15.0,0.4,1.6,13.7,1,0.2,11,51,FALSE,Nationwide,Oct-Jan,vitamin-C-rich|vitamin-A-rich|antioxidant,none,500
16,Pineapple,Fruit,100,50,0.5,13.0,0.1,1.4,9.9,1,0.3,13,66,FALSE,Central/Eastern,Year-round,vitamin-C-rich|bromelain|anti-inflammatory,none,800
17,Passion Fruit,Fruit,100,97,2.2,23.0,0.7,10.4,11.2,28,1.6,12,30,FALSE,Central/Western,Year-round,fiber-rich|vitamin-C|antioxidant,none,1000
18,Pawpaw,Fruit,100,43,0.5,11.0,0.3,1.7,7.8,8,0.3,20,60,FALSE,Nationwide,Year-round,vitamin-C-rich|digestive-health|vitamin-A,none,500
19,Luwombo,Traditional Dish,100,180,12.0,8.0,11.0,2.0,2.0,320,1.8,30,45,FALSE,Central (Buganda),Year-round,protein-rich|traditional,none,5000
20,Rolex,Street Food,100,250,9.0,28.0,12.0,2.0,3.0,480,2.0,60,55,TRUE,Urban/Nationwide,Year-round,protein-source|energy-rich,gluten|eggs,1500
21,Groundnut Sauce,Sauce,100,380,14.0,12.0,32.0,4.0,3.0,250,1.8,40,25,FALSE,Nationwide,Year-round,protein-rich|healthy-fats,peanuts,2000
22,Malewa,Traditional Dish,100,45,4.5,7.0,0.8,3.5,1.0,10,0.5,25,35,FALSE,Eastern (Bugisu),Jun-Sep,fiber-rich|low-calorie|traditional,none,3000
23,Sombe,Traditional Dish,100,55,4.0,8.0,1.0,4.0,1.5,35,3.5,150,20,FALSE,Central/Western,Year-round,iron-rich|calcium-rich|folate-source,none,1000
24,Mugoyo,Traditional Dish,100,120,2.5,28.0,0.5,3.5,6.0,20,0.8,30,58,FALSE,Central (Buganda),Year-round,energy-rich|traditional,none,1500
